17,"[1, 44, 47, 50, 110, 111, 150, 260, 293, 296, 318, 356, 480, 527, 541, 589, 590, 592, 593, 750, 780, 858, 899, 904, 910, 1032, 1036, 1089, 1090, 1093, 1100, 1193, 1196, 1197, 1198, 1201, 1206, 1209, 1210, 1213, 1221, 1222, 1228, 1234, 1240, 1252, 1258, 1259, 1263, 1270, 1291, 1375, 1405, 1732, 1967, 2005, 2019, 2028, 2194, 2329, 2502, 2571, 2717, 2762, 2858, 2959, 3039, 3147, 3263, 3435, 3508, 3681, 3702, 3949, 4226, 4571, 4993, 5618, 5782, 5952, 5971, 6016, 6350, 6870, 7099, 7153, 7482, 27773, 31658, 33794, 48394, 48516, 58559, 60069, 64839, 68157, 68358, 77455, 78499, 79132, 80463, 81932, 82459]"
18,"[1, 6, 16, 32, 36, 47, 50, 70, 110, 111, 145, 163, 165, 180, 223, 235, 260, 288, 293, 296, 318, 329, 337, 356, 431, 457, 480, 500, 508, 527, 541, 555, 586, 588, 589, 590, 593, 608, 628, 745, 778, 780, 849, 858, 904, 908, 913, 919, 923, 924, 1020, 1036, 1059, 1080, 1086, 1089, 1095, 1136, 1148, 1193, 1196, 1198, 1201, 1203, 1206, 1207, 1208, 1209, 1210, 1212, 1213, 1214, 1219, 1221, 1222, 1223, 1227, 1234, 1240, 1245, 1246, 1247, 1252, 1260, 1270, 1275, 1276, 1291, 1356, 1370, 1371, 1374, 1375, 1466, 1527, 1544, 1580, 1617, 1625, 1653, 1676, 1704, 1721, 1729, 1732, 1784, 1805, 1892, 1918, 1954, 1961, 2000, 2001, 2002, 2011, 2019, 2028, 2058, 2115, 2194, 2268, 2278, 2291, 2324, 2329, 2409, 2410, 2420, 2490, 2542, 2571, 2706, 2762, 2918, 2951, 2959, 2997, 3052, 3081, 3147, 3275, 3462, 3578, 3681, 3702, 3751, 3793, 3896, 3949, 4007, 4011, 4226, 4239, 4262, 4306, 4327, 4383, 4886, 4896, 4963, 4973, 4993, 4995, 5008, 5120, 5218, 5266, 5349, 5418, 5445, 5464, 5574, 5608, 5669, 5679, 5816, 5903, 5952, 5956, 5989, 5995, 6300, 6333, 6365, 6373, 6377, 6440, 6539, 6787, 6807, 6863, 6870, 6874, 7018, 7147, 7153, 7254, 7361, 7373, 7438, 7753, 7843, 8117, 8360, 8368, 8644, 8665, 8784, 8798, 8917, 8950, 8957, 8958, 8961, 26444, 26614, 27716, 27773, 27831, 27878, 30793, 30812, 32460, 32587, 33615, 33794, 34150, 34405, 36529, 37729, 37733, 37741, 38038, 38061, 40819, 44022, 44191, 44199, 44555, 44665, 45499, 45517, 45722, 46578, 47491, 48394, 48516, 48780, 49651, 50872, 51357, 51540, 51662, 52604, 53125, 54272, 54286, 55118, 55247, 55276, 55290, 55765, 56757, 57640, 57669, 58295, 58299, 58559, 59315, 59784, 60040, 60684, 62434, 63131, 64197, 64614, 64839, 64957, 65596, 66934, 67255, 68073, 68157, 68159, 68319, 68358, 68954, 69640, 69757, 69951, 70286, 71108, 71899, 72011, 72998, 73017, 73268, 73321, 73323, 73499, 74458, 74510, 74789, 74948, 76251, 77561, 78499, 79132, 79695, 79702, 80219, 80489, 81788, 84392, 85354, 85414, 86190, 86332, 86628, 87232, 88140, 89745, 90600, 91485, 91500, 91529, 91542, 91658, 92094, 96432, 96488, 96655, 97752, 98124, 98585, 98809, 99114, 99728, 99813, 102125, 102445, 102903, 103253, 103772, 106072, 106487, 106489, 106839, 107846, 109374, 109487, 110102, 111362, 111759, 112183, 112334, 112421, 112552, 112852, 114060, 114066, 115713, 116797, 116823, 117176, 118900, 119145, 122886, 122892, 122900, 122904, 122918, 122924, 122926, 128620, 134130, 134853, 135569, 139385, 140289, 141688, 142488, 144210, 145283, 148626, 150548, 155168, 157108, 157110, 158238, 158972, 159093, 161582, 162350, 162606, 166015, 166635, 168252, 171023, 176101, 177593, 180777, 185135]"
19,"[1, 32, 34, 235, 260, 293, 353, 357, 367, 377, 457, 541, 551, 589, 592, 674, 720, 724, 745, 783, 818, 837, 852, 903, 904, 910, 913, 931, 933, 1073, 1079, 1086, 1097, 1148, 1193, 1196, 1197, 1198, 1214, 1219, 1234, 1240, 1256, 1265, 1269, 1270, 1278, 1285, 1291, 1297, 1372, 1374, 1376, 1527, 1566, 1573, 1617, 1625, 1653, 1658, 1923, 1967, 2005, 2037, 2041, 2081, 2094, 2137, 2140, 2174, 2186, 2253, 2359, 2371, 2396, 2423, 2491, 2571, 2606, 2700, 2716, 2723, 2762, 2763, 2858, 2918, 2936, 2959, 2968, 2987, 2997, 3035, 3056, 3070, 3108, 3175, 3213, 3358, 3396, 3421, 3471, 3477, 3745, 3754, 3793]"
20,"[13, 34, 48, 107, 239, 262, 317, 362, 364, 531, 551, 588, 594, 595, 596, 661, 720, 783, 837, 899, 914, 919, 986, 1012, 1013, 1015, 1018, 1022, 1025, 1028, 1029, 1032, 1035, 1073, 1088, 1097, 1148, 1282, 1333, 1380, 1489, 1566, 1688, 1907, 1919, 1947, 2005, 2018, 2033, 2048, 2059, 2078, 2080, 2081, 2083, 2085, 2087, 2089, 2096, 2100, 2135, 2137, 2140, 2141, 2161, 2294, 2300, 2355, 2394, 2565, 2657, 2687, 2700, 2709, 2746, 2761, 2804, 2857, 2941, 2987, 3034, 3114, 3159, 3189, 3301, 3396, 3397, 3398, 3408, 3410, 3438, 3483, 3549, 3578, 3751, 3755, 3793, 3852, 3897, 3948, 3967, 3977, 3988, 3996, 4014, 4016, 4019, 4022, 4025, 4027, 4029, 4039, 4090, 4154, 4161, 4226, 4246, 4299, 4306, 4308, 4310, 4344, 4378, 4446, 4519, 4700, 4720, 4776, 4783, 4816, 4886, 4896, 4901, 4979, 4990, 4993, 4995, 5013, 5014, 5015, 5103, 5218, 5293, 5299, 5364, 5378, 5388, 5445, 5618, 5630, 5679, 5693, 5785, 5816, 5952, 5989, 5991, 6143, 6170, 6297, 6333, 6345, 6358, 6365]"
21,"[1, 2, 10, 165, 260, 296, 355, 356, 364, 370, 480, 541, 588, 589, 592, 597, 648, 719, 733, 743, 780, 1036, 1196, 1198, 1210, 1240, 1265, 1270, 1291, 1370, 1544, 1580, 1704, 1721, 1722, 1918, 2000, 2002, 2011, 2012, 2115, 2167, 2273, 2376, 2424, 2529, 2541, 2571, 2617, 2628, 2671, 2706, 2716, 2717, 2763, 2916, 2947, 2948, 2949, 2985, 2989, 2990, 2991, 2993, 3022, 3082, 3114, 3253, 3489, 3623, 3633, 3635, 3638, 3639, 3793, 3868, 3869, 3948, 3984, 4005, 4085, 4306, 4446, 4489, 4545, 4638, 4701, 4718, 4886, 4896, 4963, 5218, 5378, 5418, 5445, 5459, 5574, 5816, 5872, 5989, 6155, 6365, 6503, 6539, 6548, 6934, 6942, 7143, 7569, 7570, 7573, 8360, 8368, 8529, 8644, 8665, 8798, 8961, 8972, 8984, 30793, 30825, 31433, 31685, 32296, 33004, 33493, 33615, 33679, 33794, 34048, 36519, 40815, 44022, 45186, 45447, 45499, 46972, 47566, 47997, 49272, 49286, 50872, 51084, 51662, 52973, 53121, 53125, 53322, 53996, 54276, 54286, 56775, 58559, 58998, 59315, 59615, 59784, 60074, 60397, 63082, 63113, 63859, 68791, 68793, 68954, 69122, 69406, 69526, 69644, 69844, 70286, 72378, 72998, 73321, 76093, 77561, 78469, 78499, 78637, 79132, 79185, 79293, 79592, 81229, 81845, 82202, 84152, 85259, 87232, 87520, 88125, 88140, 89745, 90249, 91500, 91529, 91535, 91630, 94677, 94777, 95167, 95170, 95441, 95510, 96079, 96588, 97938, 98124, 99114, 101864, 102125, 102481, 103141, 103228, 103335, 103339, 103372, 103384, 103810, 103883, 104211, 104374, 104841, 105653, 105954, 106072, 106487, 106491, 106696, 106918, 107141, 108190, 109374, 109723, 110102, 110130, 111362, 111617, 111743, 111759, 111781, 111844, 112006, 112138, 112175, 112852, 114180, 115149, 115502, 115617, 115877, 116823, 117368, 117529, 117590, 117922, 119145, 119155, 122882, 122886, 122892, 122896, 122900, 122904, 122922, 134368, 134853, 135133, 135536, 135887, 136020, 138036, 143385, 152081, 164179, 164909, 166492, 167036, 168248]"
22,"[107, 216, 253, 318, 356, 541, 1193, 1223, 1952, 1953, 2160, 2300, 2541, 2959, 3006, 3210, 3489, 3578, 3751, 3911, 3996, 4017, 4034, 4036, 4848, 4886, 4903, 4979, 4995, 5418, 5617, 5669, 5902, 6377, 6711, 6870, 6874, 7361, 7438, 8798, 8961, 8970, 37741, 48780, 49272, 54503, 55820, 56782, 64575, 68157, 68536, 72998]"
23,"[6, 29, 32, 50, 272, 293, 296, 334, 541, 608, 741, 778, 858, 904, 912, 913, 923, 924, 1050, 1080, 1089, 1175, 1193, 1199, 1206, 1208, 1212, 1214, 1217, 1218, 1221, 1222, 1232, 1233, 1237, 1243, 1245, 1249, 1252, 1258, 1266, 1274, 1284, 1464, 1617, 1711, 1748, 1809, 1859, 2467, 2579, 2686, 2726, 2761, 2912, 3000, 3108, 3181, 3265, 3681, 3822, 3949, 3996, 4226, 4235, 4973, 5333, 5618, 5782, 5971, 6234, 6440, 6773, 6790, 6807, 6857, 6989, 7064, 7099, 7123, 7587, 7924, 8012, 8228, 8370]"
24,"[6, 32, 50, 165, 253, 296, 316, 318, 356, 457, 552, 593, 608, 780, 1197, 1198, 1220, 1246, 1265, 1370, 1396, 1527, 1580, 1663, 1682, 1704, 1784, 2028, 2115, 2273, 2421, 2424, 2571, 2617, 2686, 2916, 3147, 3578, 4027, 4262, 4299, 4489, 4701, 4855, 4973, 4995, 5064, 5418, 5673, 5791, 6350, 7143, 7293, 27773, 31685, 33679, 34437, 35836, 38061, 44191, 46976, 49272, 51662, 52973, 54286, 57368, 58559, 58998, 59615, 61024, 64957, 68358, 70286, 72011, 79132, 86882, 91529, 91542, 94777, 96079, 102407, 111759, 119145, 122886, 132660, 134130, 134853]"
25,"[231, 260, 527, 1198, 2028, 2571, 3578, 4993, 5952, 7153, 58559, 59315, 60069, 68157, 68954, 74458, 79132, 91529, 116797, 122912, 122916, 176371, 177593, 180095, 187541, 187593]"
26,"[47, 165, 296, 454, 457, 592, 593]"
27,"[2, 34, 48, 62, 260, 316, 356, 364, 367, 480, 590, 595, 648, 745, 783, 808, 902, 911, 913, 920, 969, 986, 1015, 1021, 1022, 1035, 1083, 1097, 1101, 1127, 1148, 1196, 1197, 1198, 1201, 1207, 1210, 1250, 1262, 1270, 1276, 1287, 1584, 1721, 1876, 1907, 1947, 2012, 2046, 2054, 2080, 2094, 2100, 2115, 2150, 2151, 2161, 2406, 2407, 2478, 2529, 2565, 2628, 2640, 2687, 2944, 2951, 3037, 3062, 3104, 3114, 3350, 3448, 3451, 3471, 3479, 3489, 3508, 3555, 3654, 3681, 3836]"
28,"[6, 32, 50, 62, 110, 260, 293, 296, 316, 318, 337, 345, 356, 475, 507, 508, 524, 529, 541, 589, 590, 678, 714, 778, 858, 1047, 1080, 1136, 1196, 1200, 1201, 1210, 1213, 1214, 1215, 1221, 1222, 1233, 1240, 1245, 1249, 1253, 1256, 1266, 1276, 1356, 1358, 1371, 1527, 1584, 1610, 1653, 1732, 1748, 1785, 1921, 1953, 2021, 2023, 2028, 2105, 2193, 2194, 2278, 2358, 2427, 2490, 2571, 2580, 2628, 2858, 2944, 2959, 2968, 3100, 3250, 3272, 3275, 3300, 3328, 3360, 3429, 3508, 3535, 3555, 3578, 3681, 3702, 3783, 3793, 3916, 3967, 4011, 4022, 4027, 4047, 4223, 4226, 4327, 4446, 4772, 4878, 5010, 5152, 5292, 5349, 5378, 5418, 5445, 5747, 5782, 5952, 5989, 6365, 6537, 6565, 6617, 6867, 6874, 6884, 6934, 6947, 7009, 7143, 7153, 7438, 7458, 7481, 7706, 7841, 7842, 8010, 8132, 8207, 8378, 8633, 8644, 8665, 8798, 8950, 8961, 26614, 26649, 26695, 26750, 27611, 27831, 30707, 30749, 32587, 33493, 33660, 33794, 34048, 34405, 34437, 36529, 37386, 38061, 39381, 39444, 41863, 43396, 44195, 47894, 48385, 49265, 49272, 49530, 51662, 52952, 53123, 54286, 54503, 54997, 55094, 55118, 55247, 55721, 55820, 55908, 56174, 57640, 57669, 58559, 59018, 59315, 59369, 60046, 60069, 60389, 60684, 60943, 61167, 61210, 61350, 62849, 63033, 63082, 64030, 64614, 64716, 64957, 64997, 65216, 68319, 68358, 68791, 69849, 70286, 71135, 72998]"
29,"[50, 150, 165, 296, 316, 318, 356, 750, 780, 858, 904, 914, 924, 953, 1100, 1136, 1198, 1201, 1204, 1208, 1209, 1213, 1222, 1224, 1242, 1250, 1262, 1270, 1272, 1303, 1408, 1617, 1939, 1945, 2028, 2301, 2761, 2872, 2944, 2951, 3363, 3441, 3578, 3681, 4223, 4327, 5010, 5464, 5995, 6502, 6787, 7156, 7379, 26554, 26729, 27611, 48516, 48774, 51540, 55820, 56174, 64620, 68237, 70286, 80489, 81845, 82459, 87232, 87306, 98961, 99114, 104841, 111362, 111759]"
30,"[110, 260, 318, 589, 1036, 1196, 1198, 1210, 1240, 1291, 2571, 4993, 5952, 7153, 33794, 58559, 59315, 60069, 68358, 68954, 79132, 91529, 93510, 95510, 96821, 97913, 108932, 109487, 111759, 112852, 115617, 116823, 122904]"
31,"[1, 7, 10, 62, 141, 165, 339, 377, 588, 605, 648, 733, 736, 780, 783, 784, 852, 912, 1036, 1057, 1073, 1196, 1197, 1198, 1214, 1240, 1270, 1278, 1282, 1302, 1353, 1356, 1361, 1363, 1391, 5060]"
32,"[7, 21, 25, 26, 32, 36, 50, 58, 74, 78, 100, 141, 194, 203, 224, 246, 260, 265, 272, 282, 296, 314, 318, 339, 345, 361, 440, 497, 527, 529, 538, 539, 592, 593, 608, 627, 708, 733, 761, 802, 852, 912, 1036, 1061, 1073, 1079, 1084, 1086, 1103, 1104, 1196, 1197, 1198, 1356, 1391, 1393, 1409, 1429, 1458, 1459]"
33,"[17, 21, 28, 36, 39, 50, 58, 94, 110, 151, 223, 232, 261, 265, 272, 293, 296, 307, 308, 318, 337, 339, 345, 356, 385, 428, 446, 448, 452, 457, 475, 497, 507, 509, 527, 529, 562, 588, 589, 593, 608, 613, 715, 778, 800, 838, 866, 914, 919, 994, 1056, 1059, 1060, 1095, 1188, 1210, 1245, 1249, 1280, 1357, 1358, 1393, 1446, 1500, 1537, 1542, 1545, 1617, 1633, 1639, 1641, 1653, 1673, 1678, 1682, 1704, 1719, 1721, 1777, 1801, 1885, 1888, 1923, 2028, 2080, 2268, 2310, 2333, 2355, 2357, 2396, 2539, 2542, 2571, 2580, 2690, 2762, 2875, 2943]"
34,"[10, 70, 318, 356, 377, 589, 1527, 1717, 2006, 2273, 2443, 2617, 2628, 2959, 3000, 3624, 3717, 3793, 3977, 3996, 4226, 4246, 4306, 4367, 4446, 4447, 4643, 4720, 4973, 5349, 5378, 6242, 6333, 6378, 6387, 6539, 6567, 6618, 6711, 6721, 6857, 6874, 7090, 7438, 7451, 8636, 26606, 27193, 27801, 44974, 45499]"
35,"[11, 21, 50, 60, 62, 150, 185, 222, 235, 236, 252, 261, 300, 339, 342, 590, 592]"
36,"[318, 904, 908, 1086, 1234, 1262, 1617, 1892, 2359, 2376, 3066, 3347, 3363, 3897, 5312]"
37,"[150, 165, 231, 292, 296, 316, 318, 344, 349, 356, 457, 590, 593, 671, 1061, 1073]"
38,"[11, 50, 110, 150, 151, 161, 168, 223, 224, 235, 246, 300, 318, 350, 357, 368, 376, 454, 457, 497, 527, 551, 590, 592, 595, 648]"
39,"[50, 260, 296, 364, 457, 588, 589, 592, 593, 608, 610, 745, 858, 1025, 1027, 1036, 1089, 1097, 1127, 1136, 1196, 1197, 1198, 1200, 1210, 1213, 1214, 1215, 1219, 1221, 1248, 1258, 1270, 1276, 1287, 1291, 1387, 1394, 1408, 1500, 1584, 1610, 1729, 1921, 1967, 1968, 1994, 2118, 2342, 2366, 2391, 2529, 2571, 2580, 2599, 2692, 2700, 2762, 2858, 2912, 2987, 2997, 3000, 3019, 3213, 3328, 3362, 3481, 3745, 3793, 3911]"
40,"[1, 17, 21, 26, 31, 34, 46, 60, 62, 82, 107, 110, 111, 121, 150, 151, 158, 163, 165, 172, 173, 203, 205, 218, 223, 224, 230, 235, 236, 252, 265, 266, 272, 281, 296, 300, 306, 307, 308, 314, 317, 318, 327, 337, 344, 350, 351, 362, 364, 367, 371, 431, 440, 454, 491, 514, 553, 588, 590, 592, 609, 610, 685]"
41,"[47, 293, 296, 357, 593, 595, 608, 778, 1206, 1219, 1225, 1258, 1259, 1307, 1721, 1732, 1784, 1961, 2160, 2324, 2329, 2692, 2712, 2858, 2959, 3160, 3285, 3578, 3948, 3949, 3968, 3996, 4014, 4022, 4027, 4034, 4226, 4235, 4246, 4720, 4816, 4848, 4878, 4973, 5377, 5618, 5989, 5995, 6016, 6287, 6373, 6377, 6711, 6763, 6874, 6953, 7149, 7173, 7293, 7361, 7438, 8641, 8949, 8981, 30707, 30812, 33166, 34162, 35836, 37729, 41285, 46578, 46723, 47099, 48516, 49530, 50872, 52973, 54272, 54286, 55247, 55280, 55820, 56941, 57669, 58998, 61240, 65230, 66097, 67255, 68157, 68954, 69757, 71033, 71899, 81591, 86781, 86882, 87869, 88129, 88163, 89759, 92259, 96829, 97921, 99114, 104879, 106918, 109374, 111921, 112290, 112552, 115569, 116897, 118900, 128360, 139385, 140110]"
42,"[3, 10, 11, 16, 21, 22, 47, 50, 86, 104, 110, 144, 150, 185, 186, 223, 225, 227, 231, 234, 252, 253, 260, 276, 288, 296, 318, 333, 349, 350, 356, 364, 381, 383, 408, 433, 434, 436, 442, 457, 468, 507, 509, 527, 540, 548, 550, 552, 553, 555, 590, 593, 597, 648, 708, 788, 805, 858, 912, 924, 1027, 1036, 1060, 1061, 1089, 1090, 1093, 1097, 1100, 1101, 1124, 1127, 1191, 1197, 1210, 1213, 1221, 1222, 1231, 1245, 1246, 1265, 1270, 1285, 1302, 1307, 1373, 1374, 1378, 1379, 1393, 1457, 1466, 1476, 1479, 1485, 1488, 1500, 1517, 1573, 1580, 1597, 1608, 1610, 1614, 1625, 1645, 1653, 1663, 1672, 1673, 1704, 1722, 1729, 1784, 1805, 1835, 1876, 1894, 1923, 1961, 1968, 2000, 2001, 2011, 2023, 2028, 2081, 2100, 2110, 2115, 2146, 2194, 2263, 2268, 2278, 2297, 2302, 2311, 2329, 2335, 2352, 2371, 2372, 2376, 2407, 2423, 2424, 2427, 2478, 2490, 2497, 2502, 2505, 2539, 2541, 2568, 2571, 2580, 2598, 2605, 2671, 2683, 2694, 2700, 2702, 2706, 2707, 2712, 2735, 2763, 2771, 2791, 2795, 2796, 2804, 2805, 2861, 2871, 2890, 2906, 2915, 2918, 2968, 2987, 2989, 2990, 2997, 3033, 3082, 3098, 3100, 3120, 3142, 3173, 3176, 3186, 3210, 3252, 3253, 3256, 3257, 3259, 3263, 3264, 3298, 3301, 3361, 3387, 3408, 3441, 3448, 3450, 3481, 3502, 3515, 3535, 3552, 3617, 3717, 3752, 3753, 3755, 3841, 3946, 4002, 4005, 4007, 4008, 4018, 4022, 4027, 4034, 4041, 4062, 4084, 4085, 4102, 4262, 4280, 4293, 4321, 4322, 4349, 4351, 4359, 4396, 4482, 4487, 4489, 4509, 4516, 4541, 4545, 4564, 4577, 4621, 4623, 4679]"
43,"[1, 3, 5, 7, 8, 10, 11, 23, 29, 34, 47, 48, 57, 60, 79, 95, 102, 107, 150, 153, 158, 161, 165, 168, 174, 185, 193, 208, 217, 225, 238, 253, 256, 259, 261, 262, 271, 276, 277, 292, 316, 317, 318, 325, 329, 339, 343, 344, 350, 351, 355, 356, 362, 364, 367, 374, 382, 410, 419, 420, 432, 434, 435, 442, 454, 457, 480, 484, 500, 502, 519, 520, 532, 542, 552, 553, 575, 587, 588, 589, 590, 592, 594, 595, 596, 597, 609, 610, 616, 631, 648, 661, 711, 783, 788, 810, 828, 1064, 1073, 1084, 1105, 1356]"
44,"[18, 36, 94, 95, 104, 112, 260, 494, 663, 733, 737, 805, 852, 889, 1120, 1210, 1393, 1405, 1429, 1476, 1517, 1552, 1639]"
